Organism,Reference,Similarity_Score,Novelty_score,Cluster_Rank,BGC_Type,Compounds,Matched_Organism,Habitat,Source
Shewanella piezotolerans WP32,BGC0001640.3,0.36,0.64,552,ribosomal,kocurin,Kocuria rosea,Deep sea ,antiSMASH
Shewanella piezotolerans WP42,BGC0001210.5,0.36,0.64,553,ribosomal,pseudomycoicidin,Bacillus pseudomycoides DSM 12442,Deep sea ,antiSMASH
Shewanella piezotolerans WP81,BGC0001505.4,0.36,0.64,554,ribosomal,"anacyclamide D8P, sphaerocyclamide",Sphaerospermopsis sp. LEGE 00249,Deep sea ,antiSMASH
Shewanella piezotolerans WP82,BGC0000472.4,0.36,0.64,555,ribosomal,anacyclamide A10,Anabaena sp. 90,Deep sea ,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001390.3,0.36,0.64,556,"NRPS, PKS",LL-Z1272beta,Stachybotrys bisbyi,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002309.2,0.36,0.64,557,terpene,cattleyene,Streptomyces cattleya NRRL 8057 = DSM 46488,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001954.2,0.36,0.64,558,"NRPS, PKS","wortmanamide A, wortmanamide B",Talaromyces wortmannii,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0000688.4,0.36,0.64,559,terpene,copalyl diphosphate,Diaporthe amygdali,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002301.2,0.36,0.64,560,PKS,(P)-ustilaginoidin A,Aschersonia paraphysata,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002812.2,0.36,0.64,561,"PKS, terpene","Colletochlorin A, Colletorin A, Colletochlorin B, Colletochlorin D, Colletorin D, Colletorin D acid, Orsellinic acid, Colletorin B",Colletotrichum higginsianum IMI 349063,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002158.2,0.36,0.64,562,"NRPS, PKS",tenuazonic acid,Pyricularia oryzae 70-15,Coral Reef,antiSMASH
Rubritalea marina DSM 17717,BGC0000648.3,0.36,0.64,563,terpene,carotenoid,Myxococcus xanthus,Coral reef,antiSMASH
Rubritalea marina DSM 17718,BGC0000582.4,0.36,0.64,564,ribosomal,cypemycin,Streptomyces sp. OH-4156,Coral reef,antiSMASH
Rubritalea marina DSM 17746,BGC0002309.2,0.36,0.64,565,terpene,cattleyene,Streptomyces cattleya NRRL 8057 = DSM 46488,Coral reef,antiSMASH
Penicillium citrinum ,BGC0002161.2,0.36,0.64,566,PKS,"scytalone, T3HN",Pestalotiopsis fici W106-1,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002424.3,0.36,0.64,567,NRPS,"saccharochelin A, saccharochelin B, saccharochelin C, saccharochelin D, saccharochelin E, saccharochelin F, saccharochelin G, saccharochelin H",Saccharothrix sp.,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002164.2,0.36,0.64,568,NRPS,peramine,Epichloe festucae,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001627.4,0.36,0.64,569,NRPS,isonitrile lipopeptides,Mycobacterium tuberculosis H37Rv,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001190.3,0.36,0.64,570,PKS,fusaric acid,Fusarium verticillioides 7600,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002229.2,0.36,0.64,571,PKS,"6-MSA, aculin A",Aspergillus aculeatus ATCC 16872,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0000404.4,0.36,0.64,572,NRPS,penicillin,Penicillium chrysogenum,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0000959.5,0.36,0.64,573,"NRPS, PKS","aspyridone A, aspyridone B",Aspergillus nidulans FGSC A4,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002812.2,0.36,0.64,574,"PKS, terpene","Colletochlorin A, Colletorin A, Colletochlorin B, Colletochlorin D, Colletorin D, Colletorin D acid, Orsellinic acid, Colletorin B",Colletotrichum higginsianum IMI 349063,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001390.3,0.36,0.64,575,"NRPS, PKS",LL-Z1272beta,Stachybotrys bisbyi,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001264.3,0.36,0.64,576,PKS,"betaenone A, betaenone B, betaenone C",Phoma betae,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001998.2,0.36,0.64,577,PKS,"aspernidgulene A1, aspernidgulene A2, aspernidgulene B1",Aspergillus nidulans FGSC A4,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001446.5,0.36,0.64,578,PKS,asparasone A,Aspergillus flavus NRRL3357,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0000046.4,0.36,0.64,579,PKS,depudecin,Alternaria brassicicola,Mangrove sediment,antiSMASH
Salinispora tropica CNB-467,BGC0000943.5,0.36,0.64,580,other (other),staphyloferrin B,Staphylococcus aureus subsp. aureus NCTC 8325,Marine Sponge,antiSMASH
Salinispora tropica CNB-518,BGC0001987.2,0.36,0.64,581,PKS,"koreenceine A, koreenceine B, koreenceine C, koreenceine D",Pseudomonas koreensis,Marine Sponge,antiSMASH
Salinispora tropica CNB-519,BGC0000243.4,0.36,0.64,582,PKS,"nonactin, monactin, dinactin, trinactin, tetranactin",Streptomyces griseus subsp. griseus,Marine Sponge,antiSMASH
Salinispora tropica CNB-628,BGC0001833.4,0.36,0.64,583,NRPS,"icosalide A, icosalide B",Burkholderia gladioli,Marine Sponge,antiSMASH
Salinispora tropica CNB-629,BGC0002164.2,0.36,0.64,584,NRPS,peramine,Epichloe festucae,Marine Sponge,antiSMASH
Thalassiosira pseudonana,BGC0000669.3,0.36,0.64,585,terpene,marneral,Arabidopsis thaliana,Open ocean (photic zone),antiSMASH
Thalassiosira pseudonana,BGC0002309.2,0.36,0.64,586,terpene,cattleyene,Streptomyces cattleya NRRL 8057 = DSM 46488,Open ocean (photic zone),antiSMASH
Thalassiosira pseudonana,BGC0000640.3,0.36,0.64,587,terpene,carotenoid,Enterobacteriaceae bacterium DC404,Open ocean (photic zone),antiSMASH
Thalassiosira pseudonana,BGC0000646.5,0.36,0.64,588,terpene,β-carotein,uncultured bacterium,Open ocean (photic zone),antiSMASH
Halorubrum lacusprofundi ATCC 49253,BGC0001778.5,0.36,0.64,589,other (other),showdomycin,Streptomyces showdoensis,Antarctic hypersaline,antiSMASH
Halorubrum lacusprofundi ATCC 49276,BGC0001229.4,0.36,0.64,590,ribosomal,"SBI-06990 A1, SBI-06989 A2",Streptomyces bingchenggensis BCW-1,Antarctic hypersaline,antiSMASH
Halorubrum lacusprofundi ATCC 49286,BGC0002406.2,0.36,0.64,591,other (other),hydroxycinnamoyltyramine,Oryza sativa Japonica Group,Antarctic hypersaline,antiSMASH
Halorubrum lacusprofundi ATCC 49287,BGC0002213.3,0.36,0.64,592,PKS,HEx-pks16 polyketide,Punctularia strigosozonata HHB-11173 SS5,Antarctic hypersaline,antiSMASH
Geobacillus kaustophilus,BGC0002447.3,0.36,0.64,593,ribosomal,cerecyclin,Bacillus cereus,Deep ocean thermophile,antiSMASH
Geobacillus kaustophilus,BGC0000626.3,0.36,0.64,594,ribosomal,thuricin,Bacillus thuringiensis,Deep ocean thermophile,antiSMASH
Geobacillus kaustophilus,BGC0002312.2,0.36,0.64,595,ribosomal,ubonodin,Burkholderia ubonensis,Deep ocean thermophile,antiSMASH
Cladosporium halotolerans,BGC0000391.5,0.36,0.64,596,NRPS,"methylpendolmycin, pendolmycin",Marinactinospora thermotolerans,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0002309.2,0.36,0.64,597,terpene,cattleyene,Streptomyces cattleya NRRL 8057 = DSM 46488,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001882.3,0.36,0.64,598,PKS,"chrysoxanthone A, chrysoxanthone B, chrysoxanthone C",Penicillium rubens Wisconsin 54-1255,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0002641.2,0.36,0.64,599,NRPS,"bacillothiazol A, bacillothiazol B, bacillothiazol C, bacillothiazol D, bacillothiazol E, bacillothiazol F, bacillothiazol G, bacillothiazol H, bacillothiazol I, bacillothiazol J, bacillothiazol K, bacillothiazol L, bacillothiazol M, bacillothiazol N",Bacillus velezensis FZB42,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001521.3,0.36,0.64,600,NRPS,auriculamide,Herpetosiphon aurantiacus DSM 785,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0002602.2,0.36,0.64,601,other (other),aspergillic acid,Aspergillus flavus,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001516.5,0.36,0.64,602,NRPS,aspergillic acid,Aspergillus flavus NRRL3357,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001923.3,0.36,0.64,603,"PKS, terpene",ascochlorin,Acremonium egyptiacum,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001190.3,0.36,0.64,604,PKS,fusaric acid,Fusarium verticillioides 7600,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001340.3,0.36,0.64,605,PKS,"byssochlamic acid, agnestadride A, agnestadride B, Triketide maleidride monomer type A",Byssochlamys fulva,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0000161.4,0.36,0.64,606,PKS,isoterrein,Aspergillus terreus NIH2624,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0002210.3,0.36,0.64,607,"NRPS, PKS",pyranoviolin A,Aspergillus violaceofuscus,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001360.3,0.36,0.64,608,PKS,mycophenolic acid,Penicillium roqueforti FM164,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001969.3,0.36,0.64,609,terpene,asperterpenoid A,Talaromyces wortmannii,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001600.3,0.36,0.64,610,PKS,fusarielin H,Fusarium graminearum,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0002164.2,0.36,0.64,611,NRPS,peramine,Epichloe festucae,Coastal sea water,antiSMASH
Marivita sp. LZ-15-6,BGC0001302.5,0.36,0.64,612,other (other),lomofungin,Streptomyces lomondensis,Marine water,antiSMASH
Marivita sp. LZ-15-7,BGC0002711.2,0.36,0.64,613,PKS,"nostovalerolactone, 9-dehydronostovalerolactone",Nostoc punctiforme PCC 73102,Marine water,antiSMASH
Marivita sp. LZ-15-8,BGC0000871.4,0.36,0.64,614,other (nucleoside),"VEPE, AEPE, TG-1",Myxococcus xanthus DK 1622,Marine water,antiSMASH
Marivita sp. LZ-15-9,BGC0000019.5,0.36,0.64,615,PKS,angolamycin,Streptomyces eurythermus,Marine water,antiSMASH
Marivita sp. LZ-15-10,BGC0000958.5,0.36,0.64,616,"NRPS, PKS",antimycin,Streptomyces sp. S4,Marine water,antiSMASH
Marivita sp. LZ-15-11,BGC0001216.5,0.36,0.64,617,"NRPS, PKS",splenocin C,Streptomyces sp. CNQ431,Marine water,antiSMASH
Marivita sp. LZ-15-68,BGC0000188.5,0.36,0.64,618,other (other),"saxitoxin, neosaxitoxin, decarbamoylsaxitoxin, gonyautoxin 3, gonyautoxin 2",Cylindrospermopsis raciborskii T3,Marine water,antiSMASH
Haloarchaeobius amylolyticus,BGC0002309.2,0.36,0.64,619,terpene,cattleyene,Streptomyces cattleya NRRL 8057 = DSM 46488,Marine solar saltern,antiSMASH
Haloarchaeobius amylolyticus,BGC0000878.5,0.36,0.64,620,other (other),puromycin,Streptomyces alboniger,Marine solar saltern,antiSMASH
Haloarchaeobius amylolyticus,BGC0000640.3,0.36,0.64,621,terpene,carotenoid,Enterobacteriaceae bacterium DC404,Marine solar saltern,antiSMASH
Haloarchaeobius amylolyticus,BGC0002309.2,0.36,0.64,622,terpene,cattleyene,Streptomyces cattleya NRRL 8057 = DSM 46488,Marine solar saltern,antiSMASH
Haloarchaeobius amylolyticus,BGC0002412.2,0.36,0.64,623,NRPS,holomycin,Photobacterium galatheae,Marine solar saltern,antiSMASH
Natranaerroarchaeum aerophilua,BGC0002309.2,0.36,0.64,624,terpene,cattleyene,Streptomyces cattleya NRRL 8057 = DSM 46488,Hypersaline lake,antiSMASH
Natranaerroarchaeum aerophilua,BGC0000207.5,0.36,0.64,625,PKS,chartreusin,Streptomyces chartreusis,Hypersaline lake,antiSMASH
Natranaerroarchaeum aerophilua,BGC0000878.5,0.36,0.64,626,other (other),puromycin,Streptomyces alboniger,Hypersaline lake,antiSMASH
Natranaerroarchaeum aerophilua,BGC0002309.2,0.36,0.64,627,terpene,cattleyene,Streptomyces cattleya NRRL 8057 = DSM 46488,Hypersaline lake,antiSMASH
Polaribacter marinivivus,BGC0000280.5,0.36,0.64,628,PKS,"2,4-diacetylphloroglucinol",Pseudomonas fluorescens,Polar,antiSMASH
Polaribacter marinivivus,BGC0001227.3,0.36,0.64,629,terpene,isorenieratene,Streptomyces collinus Tu 365,Polar,antiSMASH
Tropicibacter alexandrii,BGC0001992.3,0.36,0.64,630,other (other),thioguanine,Erwinia amylovora CFBP1430,Marine Dinoflagellate,antiSMASH
Tropicibacter alexandrii,BGC0002509.3,0.36,0.64,631,NRPS,"montamide A, capsimycin, clifednamide A, frontalamide A, combamide A",Streptomyces sp.,Marine Dinoflagellate,antiSMASH
Tropicibacter alexandrii,BGC0001302.5,0.36,0.64,632,other (other),lomofungin,Streptomyces lomondensis,Marine Dinoflagellate,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0001336.5,0.37,0.63,633,other (other),"erdasporine A, erdasporine B, erdasporine C",uncultured bacterium,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0001157.6,0.37,0.63,634,ribosomal,bottromycin A2,Streptomyces scabiei 87.22,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0000468.5,0.37,0.63,635,ribosomal,bottromycin A2,Streptomyces bottropensis DSM40262,Coral reef,antiSMASH
Marinobacter nauticus,BGC0002473.3,0.37,0.63,636,NRPS,"propanochelin, butanochelin, pentanochelin",Acinetobacter bouvetii DSM 14964 = CIP 107468,Seawater layers,antiSMASH
Shewanella piezotolerans WP41,BGC0002144.3,0.37,0.63,637,ribosomal,phazolicin,Rhizobium sp. Pop5,Deep sea ,antiSMASH
Shewanella piezotolerans WP76,BGC0001594.3,0.37,0.63,638,other (other),fischerindole L,Fischerella muscicola UTEX 1829,Deep sea ,antiSMASH
Shewanella piezotolerans WP77,BGC0000640.3,0.37,0.63,639,terpene,carotenoid,Enterobacteriaceae bacterium DC404,Deep sea ,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002812.2,0.37,0.63,640,"PKS, terpene","Colletochlorin A, Colletorin A, Colletochlorin B, Colletochlorin D, Colletorin D, Colletorin D acid, Orsellinic acid, Colletorin B",Colletotrichum higginsianum IMI 349063,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0000645.3,0.37,0.63,641,terpene,carotenoid,Halobacillus halophilus DSM 2266,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001723.5,0.37,0.63,642,PKS,oviedomycin,Streptomyces antibioticus,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0000509.4,0.37,0.63,643,ribosomal,epilancin 15x,Staphylococcus epidermidis,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001969.3,0.37,0.63,644,terpene,asperterpenoid A,Talaromyces wortmannii,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0000676.5,0.37,0.63,645,terpene,"aphidicolin, aphidicolan-16β-ol, 3-deoxyaphidicolin, 17-deoxyaphidicolin",Phoma betae,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0000896.5,0.37,0.63,646,other (other),cycloserine,Streptomyces lavendulae subsp. lavendulae,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002268.3,0.37,0.63,647,"NRPS, PKS","CJ-16,173, CJ-15,696, citridone B, citridone A, citridone B'",Penicillium sp.,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001516.5,0.37,0.63,648,NRPS,aspergillic acid,Aspergillus flavus NRRL3357,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001124.4,0.37,0.63,649,PKS,pyranonigrin E,Aspergillus niger ATCC 1015,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001305.4,0.37,0.63,650,PKS,"fujikurin A, fujikurin B, fujikurin C, fujikurin D",Fusarium fujikuroi IMI 58289,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001242.3,0.37,0.63,651,PKS,oxyjavanicin,Fusarium fujikuroi,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001338.4,0.37,0.63,652,PKS,citrinin,Monascus ruber,Coral Reef,antiSMASH
Colwellia psychrerythraea 34H,BGC0002354.4,0.37,0.63,653,other (other),huimycin,Kutzneria albida DSM 43870,Arctic Ocean,antiSMASH
Rubritalea marina DSM 17759,BGC0001778.5,0.37,0.63,654,other (other),showdomycin,Streptomyces showdoensis,Coral reef,antiSMASH
Rubritalea marina DSM 17760,BGC0000783.3,0.37,0.63,655,saccharide,O-antigen,Xanthomonas oryzae pv. oryzae,Coral reef,antiSMASH
Penicillium citrinum ,BGC0000261.5,0.37,0.63,656,PKS,R1128,Streptomyces sp. R1128,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001103.5,0.37,0.63,657,"NRPS, PKS",mycosubtilin,Bacillus subtilis subsp. spizizenii ATCC 6633,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0000959.5,0.37,0.63,658,"NRPS, PKS","aspyridone A, aspyridone B",Aspergillus nidulans FGSC A4,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002412.2,0.37,0.63,659,NRPS,holomycin,Photobacterium galatheae,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001738.3,0.37,0.63,660,"NRPS, PKS","phomasetin, wakodecalines A, wakodecalines B",Pyrenochaetopsis sp.,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001996.2,0.37,0.63,661,other (other),"oryzine A, oryzine B",Aspergillus oryzae RIB40,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002749.2,0.37,0.63,662,"NRPS, PKS",aspcandine,Aspergillus candidus,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001699.4,0.37,0.63,663,NRPS,nidulanin A,Aspergillus nidulans FGSC A4,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0000041.3,0.37,0.63,664,PKS,oronofacic acid,Pseudomonas syringae,Mangrove sediment,antiSMASH
Salinispora tropica CNB-464,BGC0001374.5,0.37,0.63,665,other (other),thienodolin,Streptomyces albogriseolus,Marine Sponge,antiSMASH
Salinispora tropica CNB-465,BGC0002213.3,0.37,0.63,666,PKS,HEx-pks16 polyketide,Punctularia strigosozonata HHB-11173 SS5,Marine Sponge,antiSMASH
Salinispora tropica CNB-466,BGC0000815.4,0.37,0.63,667,other (other),"loline, N-acetylnorloline, N-formylloline",Epichloe uncinata,Marine Sponge,antiSMASH
Salinispora tropica CNB-489,BGC0000979.3,0.37,0.63,668,"NRPS, PKS",cylindrospermopsin,Aphanizomenon sp. 10E9,Marine Sponge,antiSMASH
Salinispora tropica CNB-562,BGC0000056.3,0.37,0.63,669,PKS,esperamicin,Actinomadura verrucosospora,Marine Sponge,antiSMASH
Salinispora tropica CNB-626,BGC0001128.4,0.37,0.63,670,NRPS,gamexpeptide C,Photorhabdus laumondii subsp. laumondii TTO1,Marine Sponge,antiSMASH
Salinispora tropica CNB-627,BGC0002286.3,0.37,0.63,671,NRPS,"ririwpeptide A, ririwpeptide B, ririwpeptide C",Photorhabdus laumondii subsp. laumondii TTO1,Marine Sponge,antiSMASH
Thalassiosira pseudonana,BGC0000640.3,0.37,0.63,672,terpene,carotenoid,Enterobacteriaceae bacterium DC404,Open ocean (photic zone),antiSMASH
Thalassiosira pseudonana,BGC0000196.4,0.37,0.63,673,PKS,"AQ-256, AQ-270a, AQ-284a",Photorhabdus laumondii subsp. laumondii TTO1,Open ocean (photic zone),antiSMASH
Thalassiosira pseudonana,BGC0001969.3,0.37,0.63,674,terpene,asperterpenoid A,Talaromyces wortmannii,Open ocean (photic zone),antiSMASH
Halorubrum lacusprofundi ATCC 49252,BGC0002284.3,0.37,0.63,675,other (other),"corynecin III, corynecin I, corynecin II",Rhodococcus sp. H-CA8f,Antarctic hypersaline,antiSMASH
Halorubrum lacusprofundi ATCC 49273,BGC0000649.3,0.37,0.63,676,terpene,carotenoid,Streptomyces griseus subsp. griseus NBRC 13350,Antarctic hypersaline,antiSMASH
Halorubrum lacusprofundi ATCC 49274,BGC0001553.5,0.37,0.63,677,"NRPS, PKS",clifednamide A,Streptomyces sp. JV178,Antarctic hypersaline,antiSMASH
Halorubrum lacusprofundi ATCC 49275,BGC0000648.3,0.37,0.63,678,terpene,carotenoid,Myxococcus xanthus,Antarctic hypersaline,antiSMASH
Halorubrum lacusprofundi ATCC 49284,BGC0002394.2,0.37,0.63,679,terpene,"taxa-4(5),11(12)-diene, taxa-4(20),11(12)-diene",Taxus chinensis,Antarctic hypersaline,antiSMASH
Halorubrum lacusprofundi ATCC 49285,BGC0001911.3,0.37,0.63,680,terpene,raimonol,Streptomyces anulatus,Antarctic hypersaline,antiSMASH
Cladosporium halotolerans,BGC0002138.2,0.37,0.63,681,PKS,"fuelimycin A, fuelimicin B, fuelimicin C",Streptomyces albireticuli NRRL B-1670,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001197.5,0.37,0.63,682,PKS,frankiamicin,Frankia sp. EAN1pec,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0000405.5,0.37,0.63,683,NRPS,"δ-(L-α-aminoadipyl)-L-cysteine-D-valine, isopenicillin N, benzylpenicillin, phenoxymethylpenicillin",Penicillium chrysogenum,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0000677.5,0.37,0.63,684,terpene,cyclooctatin,Streptomyces melanosporofaciens,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0000003.3,0.37,0.63,685,PKS,AF-toxin,Alternaria alternata,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0000639.3,0.37,0.63,686,terpene,carotenoid,Enterobacteriaceae bacterium DC260,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0000641.3,0.37,0.63,687,terpene,carotenoid,Enterobacteriaceae bacterium DC416,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0000637.3,0.37,0.63,688,terpene,carotenoid,Corynebacterium glutamicum,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0002209.2,0.37,0.63,689,PKS,ustethylin A,Aspergillus ustus,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001404.3,0.37,0.63,690,PKS,sorbicillin,Penicillium rubens Wisconsin 54-1255,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001399.4,0.37,0.63,691,NRPS,fellutamide B,Aspergillus nidulans FGSC A4,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001136.4,0.37,0.63,692,"NRPS, PKS",desmethylbassianin,Beauveria bassiana,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001264.3,0.37,0.63,693,PKS,"betaenone A, betaenone B, betaenone C",Phoma betae,Coastal sea water,antiSMASH
Marivita sp. LZ-15-4,BGC0002474.2,0.37,0.63,694,NRPS,agrobactin,Agrobacterium tumefaciens,Marine water,antiSMASH
Marivita sp. LZ-15-5,BGC0000999.4,0.37,0.63,695,"NRPS, PKS",heat-stable antifungal factor,Lysobacter enzymogenes,Marine water,antiSMASH
Marivita sp. LZ-15-40,BGC0001098.5,0.37,0.63,696,"NRPS, PKS",iturin,Bacillus subtilis,Marine water,antiSMASH
Marivita sp. LZ-15-41,BGC0001090.5,0.37,0.63,697,"NRPS, PKS",bacillomycin D,Bacillus velezensis FZB42,Marine water,antiSMASH
Marivita sp. LZ-15-66,BGC0002571.2,0.37,0.63,698,NRPS,pyoverdine DC3000,Pseudomonas syringae pv. tomato str. DC3000,Marine water,antiSMASH
Marivita sp. LZ-15-67,BGC0002000.4,0.37,0.63,699,PKS,setomimycin,Streptomyces aurantiacus JA 4570,Marine water,antiSMASH
Haloarchaeobius amylolyticus,BGC0000677.5,0.37,0.63,700,terpene,cyclooctatin,Streptomyces melanosporofaciens,Marine solar saltern,antiSMASH
Haloarchaeobius amylolyticus,BGC0001778.5,0.37,0.63,701,other (other),showdomycin,Streptomyces showdoensis,Marine solar saltern,antiSMASH
Haloarchaeobius amylolyticus,BGC0000188.5,0.37,0.63,702,other (other),"saxitoxin, neosaxitoxin, decarbamoylsaxitoxin, gonyautoxin 3, gonyautoxin 2",Cylindrospermopsis raciborskii T3,Marine solar saltern,antiSMASH
Haloarchaeobius amylolyticus,BGC0000207.5,0.37,0.63,703,PKS,chartreusin,Streptomyces chartreusis,Marine solar saltern,antiSMASH
Haloarchaeobius amylolyticus,BGC0000648.3,0.37,0.63,704,terpene,carotenoid,Myxococcus xanthus,Marine solar saltern,antiSMASH
Natranaerroarchaeum aerophilua,BGC0000639.3,0.37,0.63,705,terpene,carotenoid,Enterobacteriaceae bacterium DC260,Hypersaline lake,antiSMASH
Natranaerroarchaeum aerophilua,BGC0000642.3,0.37,0.63,706,terpene,carotenoid,Enterobacteriaceae bacterium DC413,Hypersaline lake,antiSMASH
Natranaerroarchaeum aerophilua,BGC0001911.3,0.37,0.63,707,terpene,raimonol,Streptomyces anulatus,Hypersaline lake,antiSMASH
Natranaerroarchaeum aerophilua,BGC0000252.5,0.37,0.63,708,PKS,nonactin,Streptomyces griseus subsp. griseus,Hypersaline lake,antiSMASH
Natranaerroarchaeum aerophilua,BGC0001387.5,0.37,0.63,709,other (other),nucleocidin,Streptomyces calvus,Hypersaline lake,antiSMASH
Natranaerroarchaeum aerophilua,BGC0000509.4,0.37,0.63,710,ribosomal,epilancin 15x,Staphylococcus epidermidis,Hypersaline lake,antiSMASH
Methanococcoides burtonii DSM 6260,BGC0000483.5,0.37,0.63,711,ribosomal,"aeruginosamide B, aeruginosamide C",Microcystis aeruginosa PCC 9432,Polar marine ice,antiSMASH
Methanococcoides burtonii DSM 6261,BGC0000477.3,0.37,0.63,712,ribosomal,"patellin 2, patellin 3",uncultured Prochloron sp. 06037A,Polar marine ice,antiSMASH
Polaribacter marinivivus,BGC0000664.5,0.37,0.63,713,terpene,isorenieratene,Streptomyces griseus subsp. griseus NBRC 13350,Polar,antiSMASH
Tropicibacter alexandrii,BGC0002000.4,0.37,0.63,714,PKS,setomimycin,Streptomyces aurantiacus JA 4570,Marine Dinoflagellate,antiSMASH
Tropicibacter alexandrii,BGC0000639.3,0.37,0.63,715,terpene,carotenoid,Enterobacteriaceae bacterium DC260,Marine Dinoflagellate,antiSMASH
Tropicibacter alexandrii,BGC0000642.3,0.37,0.63,716,terpene,carotenoid,Enterobacteriaceae bacterium DC413,Marine Dinoflagellate,antiSMASH
Tropicibacter alexandrii,BGC0001726.4,0.37,0.63,717,"NRPS, PKS","pactamide A, pactamide B, pactamide C, pactamide D, pactamide E, pactamide F",Streptomyces pactum,Marine Dinoflagellate,antiSMASH
Tropicibacter alexandrii,BGC0002365.2,0.37,0.63,718,"PKS, other (other)","10-epi-HSAF, 10-epi-3-deOH-HSAF, 10-epi-maltophilin, 10-epi-xanthobaccin C, 10-epi-hydroxymaltophilin, 10-epi-FI-2",Streptomyces sp.,Marine Dinoflagellate,antiSMASH
